Source	Target
1	269
1	273
1	468
1	471
1	559
1	560
1	561
1	594
1	646
1	647
1	648
1	649
1	650
1	655
1	676
1	677
1	728
1	819
1	820
1	841
1	842
1	846
2	13
2	29
2	103
2	133
2	225
2	300
2	322
2	326
2	328
2	481
2	485
2	495
2	499
2	507
2	517
2	521
2	532
2	551
2	592
2	617
2	621
2	702
2	730
2	732
2	733
2	765
2	771
2	825
2	840
3	120
3	181
3	193
3	217
3	219
3	233
3	244
3	249
3	299
3	389
3	485
3	486
3	564
3	589
3	624
3	633
3	708
3	752
3	779
3	945
4	171
4	172
4	201
4	363
4	550
4	740
5	79
5	114
5	128
5	252
5	270
5	271
5	314
5	330
5	339
5	356
5	357
5	433
5	517
5	522
5	531
5	549
5	577
5	578
5	581
5	602
5	642
5	711
5	731
5	750
5	782
5	870
5	924
6	13
6	19
6	24
6	53
6	79
6	85
6	98
6	100
6	101
6	103
6	110
6	124
6	128
6	132
6	161
6	165
6	168
6	170
6	197
6	198
6	199
6	203
6	220
6	225
6	237
6	245
6	246
6	250
6	252
6	257
6	265
6	268
6	318
6	319
6	332
6	339
6	360
6	361
6	370
6	385
6	390
6	394
6	397
6	422
6	423
6	427
6	428
6	441
6	468
6	471
6	481
6	482
6	499
6	500
6	503
6	506
6	507
6	517
6	521
6	522
6	532
6	533
6	535
6	536
6	538
6	539
6	551
6	554
6	557
6	577
6	592
6	593
6	602
6	622
6	641
6	642
6	647
6	648
6	649
6	650
6	675
6	689
6	692
6	702
6	718
6	719
6	720
6	721
6	722
6	723
6	728
6	730
6	731
6	732
6	733
6	734
6	737
6	750
6	756
6	757
6	759
6	765
6	766
6	771
6	782
6	800
6	805
6	819
6	820
6	840
6	841
6	842
6	844
6	846
6	850
6	854
6	858
6	862
6	870
6	893
6	911
6	924
6	934
7	118
7	166
7	298
7	472
7	500
8	43
8	154
8	381
8	443
8	467
8	479
8	480
8	682
8	958
9	62
9	99
9	248
9	395
9	396
9	398
9	418
9	420
9	421
9	477
9	578
9	600
9	715
9	716
9	759
9	877
9	891
10	18
10	26
10	206
10	232
10	305
10	725
11	44
11	170
11	277
11	468
11	471
11	501
11	502
11	504
11	553
11	647
11	648
11	649
11	650
11	676
11	677
11	719
11	721
11	723
11	728
11	767
11	841
11	842
12	45
12	97
12	122
12	490
12	511
12	738
12	746
12	855
12	856
12	857
12	921
13	14
13	19
13	24
13	29
13	46
13	53
13	57
13	64
13	78
13	79
13	83
13	85
13	100
13	101
13	103
13	109
13	110
13	121
13	128
13	132
13	164
13	168
13	170
13	197
13	199
13	216
13	220
13	225
13	237
13	245
13	246
13	252
13	265
13	268
13	300
13	316
13	318
13	319
13	326
13	328
13	332
13	370
13	385
13	422
13	423
13	427
13	428
13	441
13	468
13	471
13	473
13	481
13	482
13	499
13	500
13	503
13	507
13	517
13	521
13	532
13	533
13	535
13	538
13	539
13	551
13	554
13	557
13	580
13	584
13	592
13	593
13	610
13	621
13	622
13	641
13	647
13	648
13	649
13	650
13	675
13	681
13	689
13	692
13	702
13	718
13	719
13	721
13	723
13	728
13	730
13	731
13	732
13	733
13	734
13	737
13	750
13	756
13	757
13	765
13	770
13	771
13	790
13	800
13	819
13	820
13	840
13	841
13	842
13	846
13	854
13	862
13	867
13	893
13	928
13	934
13	944
14	57
14	83
14	109
14	164
14	168
14	216
14	220
14	225
14	266
14	332
14	347
14	353
14	422
14	423
14	428
14	473
14	481
14	507
14	521
14	532
14	551
14	554
14	580
14	593
14	602
14	621
14	675
14	702
14	730
14	731
14	771
14	819
14	820
14	835
15	60
15	122
15	169
15	178
15	180
15	220
15	237
15	272
15	376
15	377
15	469
15	556
15	593
15	637
15	658
15	766
15	772
15	856
15	905
15	917
15	919
15	921
15	922
15	926
16	40
16	226
16	227
16	409
17	24
17	91
17	100
17	101
17	217
17	662
17	708
17	718
17	752
17	753
17	754
17	873
17	934
18	26
18	206
18	232
18	305
18	725
19	36
19	54
19	57
19	79
19	128
19	225
19	240
19	252
19	466
19	481
19	499
19	500
19	521
19	532
19	548
19	551
19	641
19	730
19	731
19	750
19	771
19	800
19	834
19	840
19	893
19	912
19	944
20	21
20	184
20	875
20	935
21	184
21	304
21	875
21	935
22	66
22	175
22	359
22	516
22	543
22	613
22	680
22	803
22	876
23	53
23	63
23	64
23	103
23	105
23	132
23	163
23	168
23	245
23	246
23	268
23	302
23	318
23	319
23	332
23	385
23	424
23	441
23	482
23	521
23	532
23	622
23	692
23	730
23	765
23	821
23	862
24	29
24	32
24	38
24	39
24	53
24	77
24	79
24	83
24	88
24	91
24	100
24	101
24	106
24	128
24	132
24	133
24	164
24	216
24	220
24	225
24	237
24	245
24	252
24	270
24	271
24	300
24	326
24	328
24	339
24	422
24	423
24	427
24	439
24	481
24	503
24	506
24	517
24	521
24	531
24	532
24	548
24	549
24	551
24	557
24	567
24	577
24	593
24	642
24	675
24	683
24	692
24	718
24	719
24	721
24	723
24	724
24	730
24	731
24	750
24	753
24	754
24	771
24	800
24	819
24	820
24	833
24	862
24	870
24	893
24	934
24	939
24	941
24	944
25	26
25	123
25	185
25	352
25	449
25	451
25	590
25	735
25	806
26	37
26	123
26	206
26	208
26	232
26	305
26	352
26	590
26	725
27	72
27	93
27	115
27	117
27	155
27	156
27	157
27	160
27	286
27	287
27	293
27	310
27	405
27	406
27	440
27	491
27	881
27	882
27	883
27	884
27	885
27	886
27	930
28	205
28	305
28	336
28	601
29	83
29	100
29	101
29	133
29	164
29	216
29	225
29	251
29	270
29	271
29	300
29	326
29	328
29	409
29	412
29	427
29	481
29	495
29	499
29	507
29	521
29	531
29	532
29	548
29	551
29	557
29	621
29	655
29	675
29	702
29	719
29	721
29	723
29	730
29	771
29	825
29	840
29	909
29	934
29	939
29	944
30	82
30	95
30	126
30	191
30	432
30	620
31	66
31	159
31	281
31	294
31	295
31	315
31	446
31	540
31	543
31	560
31	561
31	563
31	570
31	613
31	632
31	657
31	661
31	665
31	668
31	795
31	866
31	868
31	880
31	903
31	914
32	100
32	101
32	161
32	180
32	203
32	268
32	348
32	356
32	363
32	446
32	517
32	521
32	532
32	577
32	617
32	626
32	681
32	718
32	730
32	731
32	800
32	825
32	832
32	835
32	846
32	852
32	866
32	870
32	934
33	69
33	84
33	94
33	187
33	190
33	573
33	575
33	576
33	583
33	659
33	685
33	786
33	789
34	497
34	954
36	57
36	641
36	912
37	208
37	213
38	39
38	77
38	83
38	100
38	101
38	106
38	164
38	170
38	216
38	237
38	251
38	370
38	427
38	482
38	499
38	521
38	532
38	533
38	549
38	642
38	718
38	719
38	721
38	723
38	730
38	731
38	741
38	753
38	754
38	833
38	840
38	909
38	934
38	944
39	77
39	83
39	100
39	101
39	106
39	164
39	170
39	216
39	237
39	251
39	370
39	427
39	482
39	499
39	521
39	532
39	533
39	549
39	642
39	718
39	719
39	721
39	723
39	730
39	731
39	741
39	753
39	754
39	833
39	840
39	909
39	934
39	944
40	227
40	557
41	153
41	825
42	48
42	600
42	607
42	887
43	479
44	937
44	961
45	490
45	511
45	691
45	738
45	855
45	856
45	857
45	921
45	957
46	78
46	225
46	332
46	362
46	417
46	481
46	551
46	574
46	584
46	587
46	620
46	669
46	675
46	771
46	809
46	812
46	867
46	949
47	113
47	512
47	927
48	600
48	607
48	887
49	139
49	148
49	152
49	185
49	329
49	368
49	456
49	546
49	807
50	146
50	568
50	645
51	53
51	98
51	103
51	110
51	165
51	174
51	236
51	246
51	418
51	420
51	600
51	643
51	765
51	850
52	122
52	373
52	463
52	464
52	520
52	595
52	637
52	827
53	63
53	79
53	85
53	98
53	100
53	101
53	102
53	103
53	105
53	110
53	124
53	128
53	132
53	154
53	163
53	165
53	168
53	170
53	197
53	199
53	220
53	225
53	237
53	245
53	246
53	247
53	250
53	252
53	257
53	265
53	268
53	273
53	302
53	318
53	319
53	332
53	357
53	370
53	381
53	385
53	395
53	409
53	422
53	423
53	427
53	428
53	441
53	443
53	467
53	468
53	471
53	481
53	482
53	489
53	499
53	503
53	507
53	517
53	521
53	532
53	533
53	538
53	539
53	551
53	554
53	557
53	578
53	592
53	593
53	609
53	622
53	647
53	648
53	649
53	650
53	675
53	682
53	689
53	692
53	702
53	718
53	719
53	721
53	723
53	728
53	730
53	731
53	732
53	733
53	734
53	737
53	750
53	753
53	754
53	756
53	757
53	765
53	771
53	800
53	805
53	819
53	820
53	840
53	841
53	842
53	844
53	846
53	849
53	850
53	854
53	858
53	862
53	893
53	934
54	72
54	121
54	240
54	287
54	316
54	405
54	406
54	510
54	580
54	641
54	671
54	672
54	673
54	674
54	750
54	790
54	800
54	805
54	813
54	834
54	881
54	884
54	885
54	886
54	930
54	948
55	65
55	202
55	273
55	524
55	600
55	739
55	744
55	793
55	797
56	72
56	89
56	137
56	138
56	150
56	155
56	156
56	157
56	160
56	214
56	287
56	310
56	405
56	406
56	611
56	693
56	694
56	712
56	717
56	804
56	814
56	815
56	816
56	817
56	818
56	858
56	881
56	882
56	883
56	884
56	885
56	886
56	916
56	930
56	951
57	109
57	143
57	225
57	281
57	315
57	348
57	422
57	423
57	473
57	481
57	503
57	521
57	532
57	551
57	563
57	580
57	593
57	641
57	730
57	731
57	771
57	819
57	820
57	821
57	843
57	903
58	76
58	92
58	96
58	147
58	282
58	284
58	289
58	302
58	354
58	355
58	417
58	439
58	506
58	534
58	566
58	574
58	586
58	587
