Source	Target
1	269
1	270
1	271
1	272
1	531
1	559
2	11
2	12
2	13
2	14
2	15
2	24
2	26
2	28
2	31
2	34
2	46
2	49
2	50
2	54
2	57
2	63
2	66
2	73
2	74
2	78
2	81
2	85
2	100
2	101
2	103
2	104
2	105
2	109
2	110
2	113
2	121
2	122
2	128
2	142
2	161
2	170
2	201
2	203
2	205
2	220
2	225
2	232
2	233
2	240
2	243
2	252
2	277
2	278
2	279
2	280
2	281
2	306
2	311
2	315
2	316
2	318
2	319
2	320
2	324
2	332
2	338
2	368
2	370
2	373
2	393
2	394
2	395
2	397
2	406
2	414
2	421
2	422
2	423
2	425
2	427
2	441
2	463
2	464
2	468
2	471
2	473
2	481
2	489
2	490
2	495
2	497
2	500
2	507
2	510
2	513
2	517
2	522
2	530
2	532
2	533
2	536
2	538
2	539
2	543
2	546
2	557
2	558
2	571
2	578
2	580
2	592
2	612
2	613
2	623
2	637
2	642
2	647
2	648
2	649
2	650
2	657
2	671
2	672
2	673
2	674
2	681
2	688
2	689
2	690
2	691
2	692
2	702
2	717
2	719
2	721
2	723
2	725
2	728
2	730
2	731
2	750
2	756
2	765
2	774
2	790
2	799
2	813
2	816
2	819
2	820
2	821
2	825
2	834
2	840
2	841
2	842
2	846
2	854
2	855
2	857
2	858
2	862
2	863
2	867
2	880
2	881
2	884
2	885
2	886
2	903
2	917
2	919
2	925
2	934
2	954
3	17
3	120
3	159
3	193
3	217
3	244
3	249
3	299
3	624
3	632
3	633
3	668
3	708
3	746
3	752
3	868
3	902
3	914
4	64
4	172
4	230
4	309
4	339
4	550
4	740
4	943
5	52
5	64
5	79
5	114
5	179
5	188
5	314
5	520
5	567
5	581
5	827
6	24
6	100
6	101
6	170
6	323
6	370
6	533
6	612
6	680
6	759
6	869
6	934
7	181
7	298
7	472
8	43
8	479
8	480
10	18
10	66
10	205
10	206
10	372
10	543
10	578
10	594
10	766
10	804
10	926
11	12
11	47
11	63
11	81
11	105
11	107
11	113
11	414
11	490
11	511
11	512
11	513
11	517
11	578
11	657
11	670
11	691
11	760
11	819
11	820
11	839
11	846
11	855
11	857
12	45
12	50
12	54
12	66
12	240
12	282
12	293
12	318
12	319
12	433
12	439
12	441
12	465
12	490
12	491
12	511
12	517
12	543
12	568
12	578
12	670
12	691
12	738
12	742
12	819
12	820
12	834
12	855
12	856
12	857
12	866
12	921
13	14
13	15
13	22
13	26
13	49
13	54
13	57
13	63
13	66
13	73
13	74
13	77
13	103
13	104
13	105
13	109
13	121
13	122
13	140
13	142
13	164
13	205
13	216
13	232
13	233
13	240
13	278
13	279
13	280
13	281
13	311
13	315
13	316
13	324
13	332
13	338
13	368
13	373
13	393
13	394
13	397
13	406
13	422
13	423
13	427
13	468
13	471
13	473
13	489
13	495
13	500
13	507
13	510
13	516
13	517
13	532
13	538
13	539
13	543
13	546
13	578
13	580
13	623
13	637
13	639
13	640
13	642
13	647
13	648
13	649
13	650
13	657
13	671
13	672
13	674
13	688
13	689
13	692
13	702
13	728
13	730
13	731
13	765
13	790
13	813
13	819
13	820
13	834
13	841
13	842
13	854
13	861
13	862
13	903
13	919
13	925
13	928
13	944
14	26
14	34
14	45
14	46
14	50
14	54
